1,Beijing Beef,FALSE,"""https://i.imgur.com/nGs4uXa.png""","Beijing Beef, Crispy beef, bell peppers and onions in a sweet-tangy sauce"
2,Broccoli Beef,FALSE,"""https://i.imgur.com/4ZwloQc.png""","Broccoli Beef, A classic favorite. Tender beef and fresh broccoli in a ginger soy sauce"
3,Black Pepper Angus Steak,TRUE,"""https://i.imgur.com/x1dPPWf.png""","Black Pepper Angus Steak, Angus steak wok-seared with onions, red bell peppers and mushrooms in a savory black pepper sauce"
4,Black Pepper Chicken,FALSE,"""https://i.imgur.com/K1iPAOl.png""","Black Pepper Chicken, Marinated chicken, celery and onions in a bold black pepper sauce"
5,Grilled Teriyaki Chicken,FALSE,"""https://i.imgur.com/zEPSr9C.png""","Grilled Teriyaki Chicken, Grilled chicken thigh hand-sliced to order and served with teriyaki sauce"
6,Honey Sesame Chicken Breast,FALSE,"""https://i.imgur.com/p8OLsll.png""","Honey Sesame Chicken Breast, Thin, crispy chicken strips with green beans and crispy yellow bell peppers with our delicious honey sesame seed sauce"
7,Kung Pao Chicken,FALSE,"""https://i.imgur.com/lcBELCI.png""","Kung Pao Chicken, A Szechwan-inspired dish with chicken, peanuts and vegetables, finished with chili peppers"
8,Mushroom Chicken,FALSE,"""https://i.imgur.com/kHSVkTe.png""","Mushroom Chicken, Chicken, mushrooms and zucchini stir-fried in a wok with a soy and ginger sauce"
9,Orange Chicken,FALSE,"""https://i.imgur.com/6iVwEfs.png""","Orange Chicken, Our signature dish. Crispy chicken wok-tossed in a sweet and spicy orange sauce"
10,Sweet Fire Chicken Breast,FALSE,"""https://i.imgur.com/qQPCCeW.jpeg""","Sweetfire Chicken Breast, Fried chicken breast pieces tossed with red peppers and pineapple"
11,String Bean Chicken Breast,FALSE,"""https://i.imgur.com/YxcPkcd.jpeg""","String Bean Chicken Breast, Tender chicken breast pieces tossed with fresh green beans"
12,Honey Walnut Shrimp,TRUE,"""https://i.imgur.com/9zZIa3I.png""","Honey Walnut Shrimp, Large tempura-battered shrimp, wok-tossed in a honey sauce and topped with glazed walnuts"
